title,salary,city,raw_text
数据分析师-汽车主机厂（base保定）,7-10K,北京·大兴区·亦庄,"数据分析师-汽车主机厂（base保定）
-K·薪
1-3年
本科
长城汽车
北京·大兴区·亦庄"
资深数据分析师,20-25K,北京,"资深数据分析师
-K
5-10年
本科
华润医药商业
北京"
数据分析师,12-18K,北京,"数据分析师
-K
1-3年
本科
空铁无忧
北京"
直播数据分析师,15-22K,未知,"直播数据分析师
-K
1-3年
本科
棉花史密斯
北京·朝阳区·三里屯"
中/高级数据分析师,15-25K,未知,"中/高级数据分析师
-K
3-5年
本科
植物医生
北京·西城区·西直门"
数据分析师,10-15K,未知,"数据分析师
-K
5-10年
本科
北京商务中心区信...
北京·朝阳区·大望路"
数据分析师,15-20K,北京·朝阳区·朝外,"数据分析师
-K
5-10年
本科
CheilPengTai
北京·朝阳区·朝外"
数据分析师,15-20K,未知,"数据分析师
-K
5-10年
本科
中译语通
北京·石景山区·苹果园"
数据分析师,15-18K,未知,"数据分析师
-K
3-5年
大专
btestsky
北京·昌平区·回龙观"
数据分析师,8-12K,北京·朝阳区·朝外,"数据分析师
-K
1-3年
本科
印橙科技
北京·朝阳区·朝外"
机票数据分析师,8-12K,未知,"机票数据分析师
-K
1-3年
本科
中旅途易旅游有限公司
北京·东城区·建国门内"
数据分析师,10-13K,未知,"数据分析师
-K·薪
1-3年
大专
中软国际
北京·石景山区·苹果园"
数据分析师,15-30K,北京万联易达科技,"数据分析师
-K·薪
5-10年
本科
北京万联易达科技
北京·朝阳区·酒仙桥"
数据分析师,15-25K,未知,"数据分析师
-K
3-5年
本科
天眼查
北京·海淀区·苏州桥"
数据分析师,8-12K,未知,"数据分析师
-K
3-5年
大专
上海至芫科技有限公司
北京·朝阳区·大望路"
数据分析师,15-20K,未知,"数据分析师
-K
3-5年
本科
智视数策
北京·海淀区·二里庄"
高级数据分析师,20-40K,北京·朝阳区·望京,"高级数据分析师
-K·薪
3-5年
本科
洋葱学园
北京·朝阳区·望京"
资深数据分析师(A116287),20-35K,未知,"资深数据分析师(A116287)
-K·薪
5-10年
本科
重流智能科技
北京·海淀区·学院路"
信用卡数据分析师,12-18K,北京·朝阳区·朝外,"信用卡数据分析师
-K
3-5年
本科
杰倍思信息技术咨...
北京·朝阳区·朝外"
资深数据分析师,30-60K,北京·朝阳区·望京,"资深数据分析师
-K
3-5年
本科
vivo
北京·朝阳区·望京"
国际外卖-资深数据分析师,40-50K,北京,"国际外卖-资深数据分析师
-K·薪
3-5年
本科
某大型互联网出行平台公司
北京"
数据分析岗（AI大模型应用及数据分析）,20-40K,北京,"数据分析岗（AI大模型应用及数据分析）
-K
3-5年
本科
某大型运营商/增值服务公司
北京"
数据分析师,25-35K,北京·朝阳区·望京,"数据分析师
-K·薪
5-10年
本科
嘀嗒出行
北京·朝阳区·望京"
资深数据分析师,40-70K,北京,"资深数据分析师
-K·薪
3-5年
本科
某大型知名互联网公司
北京"
高级数据分析师,20-25K,未知,"高级数据分析师
-K
5-10年
本科
灵狐科技
北京·海淀区·苏州桥"
数据分析师,12-14K,北京合正未来科技,"数据分析师
-K
3-5年
本科
北京合正未来科技
北京·海淀区·上地"
贷后数据分析师,20-30K,北京·朝阳区·望京,"贷后数据分析师
-K·薪
3-5年
本科
桔子数科
北京·朝阳区·望京"
数据分析师,8-12K,未知,"数据分析师
-K
1年以内
本科
北京声量传媒有限公司
北京·朝阳区·西坝河"
数据分析师,35-40K,北京,"数据分析师
-K
3-5年
本科
某大型互联网公司
北京"
数据分析师,9-12K,北京·海淀区·上地,"数据分析师
-K
1年以内
本科
chaindigg
北京·海淀区·上地"
数据分析师,18-35K,未知,"数据分析师
-K·薪
3-5年
本科
臻盛网络
北京·海淀区·学院路"
数据分析师（增⻓⽅向）,20-30K,北京·朝阳区·国贸,"数据分析师（增⻓⽅向）
-K
3-5年
本科
印象笔记
北京·朝阳区·国贸"
数据分析师,50-60K,北京,"数据分析师
-K·薪
3-5年
本科
某小型移动互联网公司
北京"
数据分析师,15-30K,未知,"数据分析师
-K
1-3年
本科
金史密斯科技股份...
北京·丰台区·科技园区"
数据分析师,15-20K,未知,"数据分析师
-K
1-3年
本科
马上赢市场调查
北京·朝阳区·三元桥"
高级数据分析师,20-40K,北京·朝阳区·望京,"高级数据分析师
-K·薪
3-5年
本科
数驱互动
北京·朝阳区·望京"
高级数据分析师(J18061),15-22K,北京,"高级数据分析师(J18061)
-K·薪
3-5年
本科
神州租车
北京"
经营数据分析师,18-35K,未知,"经营数据分析师
-K
3-5年
本科
闪电快车
北京·朝阳区·立水桥"
数据分析师,45-75K,北京·大兴区·亦庄,"数据分析师
-K·薪
5-10年
本科
京东物流-物流研发部
北京·大兴区·亦庄"
数据分析师,10-15K,北京·通州区·永顺,"数据分析师
-K
3-5年
本科
天启纵横
北京·通州区·永顺"
数据分析师,15-30K,北京·朝阳区·朝外,"数据分析师
-K
5-10年
本科
优赛恒创
北京·朝阳区·朝外"
高级数据分析师,15-25K,未知,"高级数据分析师
-K
5-10年
本科
龙盾数据
北京·海淀区·世纪城"
数据分析师,8-10K,未知,"数据分析师
-K
1-3年
本科
德国电信咨询
北京·朝阳区·农业展览馆"
高级数据分析师,25-35K,未知,"高级数据分析师
-K·薪
5-10年
本科
九号公司
北京·海淀区·西三旗"
