title,salary,city,raw_text
中级需求分析师,12-18K,南京君融科技有限公司,"中级需求分析师
-K
5-10年
本科
南京君融科技有限公司
南京·江宁区·开发区"
资深数据分析师,20-30K14新,南京·雨花台区·铁心桥,"资深数据分析师
-K·薪
3-5年
本科
SHEIN
南京·雨花台区·铁心桥"
储备店长,5-10K,南京·玄武区·孝陵卫,"储备店长
-K
1-3年
大专
网鱼
南京·玄武区·孝陵卫"
仓储质控-策略专家（广东省内调配）,2140K14新,南京·江宁区·科学园,"仓储质控-策略专家（广东省内调配）
-K·薪
3-5年
大专
拼多多集团-PDD
南京·江宁区·科学园"
舆情分析师,6-9K,南京·建邺区·江东,"舆情分析师
-K
3-5年
本科
红海轻舟文化传媒
南京·建邺区·江东"
马厂老火锅管培生,3K,南京·浦口区·泰山,"马厂老火锅管培生
-K
在校/应届
本科
雨花台区张肖餐饮店
南京·浦口区·泰山"
大模型/机器学习/NLP/CV/算法（接受应届）,校目海归,南京·雨花台区·软件大道,"大模型/机器学习/NLP/CV/算法（接受应届）
-K·薪
经验不限
本科
华为技术有限公司
南京·雨花台区·软件大道"
AI机器学习工程师（制造与自动报价方向）,13-16K,南京·江宁区·九龙湖,"AI机器学习工程师（制造与自动报价方向）
-K
3-5年
本科
粒聚科技
南京·江宁区·九龙湖"
机器人算法工程师（定位）,18-35K14新,南京·江宁区·东山,"机器人算法工程师（定位）
-K·薪
3-5年
本科
苏合新能源
南京·江宁区·东山"
安卓开发（浏览器/物联网/机器人）,20-23K,南京,"安卓开发（浏览器/物联网/机器人）
-K
5-10年
本科
某中型互联网物联网平台公司
南京"
算法工程师（大模型 深度学习 可培养）,15-30K14新,南京,"算法工程师（大模型 深度学习 可培养）
-K·薪
1-3年
本科
某知名大型计算机软件及通信技术民营公司
南京"
机器人算法工程师,25-26K,南京·雨花台区·宁南,"机器人算法工程师
-K
在校/应届
硕士
中兴通讯
南京·雨花台区·宁南"
VLM算法 视觉言语 机器人算法(福利好人才房,90-120K24新,深圳某大型计算机软件上市公司,"VLM算法 视觉言语 机器人算法(福利好人才房
-K·薪
3-5年
硕士
深圳某大型计算机软件上市公司
南京"
机器人运动控制算法工程师,15-30K,南京,"机器人运动控制算法工程师
-K
3-5年
本科
陆加壹智能
南京"
机器学习工程师,7-9K,南京,"机器学习工程师
-K
1-3年
本科
唯爱科技
南京"
深度学习框架研发专家和工程师,2040K,北京海飞科科技,"深度学习框架研发专家和工程师
-K
3-5年
本科
北京海飞科科技
南京·建邺区·江东"
机器人运动控制算法工程师,20-30K,南京·浦口区·江浦,"机器人运动控制算法工程师
-K
3-5年
本科
集萃智造
南京·浦口区·江浦"
机器人算法工程师,20-25K,南京·雨花台区·宁南,"机器人算法工程师
-K
3-5年
学历不限
富仁高科
南京·雨花台区·宁南"
运动控制算法（双休机器人产品base无锡可谈,30-60K1新,南京,"运动控制算法（双休机器人产品base无锡可谈
-K·薪
3-5年
本科
某大型半导体/芯片测试公司
南京"
机器人算法工程师,18-35K,南京,"机器人算法工程师
-K
1-3年
本科
某大型仪器仪表/工业自动化公司
南京"
